U-Cr-Si,,,,,,U-Zr-Si,,,
,1.6,u-GGA,mixd,,,exp/ucer,1.6,u-GGA,mixd
-0.2819,cr3si,-59.1178 ,,,,,zr3si,-240.5322 ,
0.0114(uncer),,1.1001 ,-0.3342 ,,,,,0.2298 ,-0.7649 
-0.3545,crsi,-54.7536 ,,,,-0.9794,zrsi,-58.8682 ,
0.0166,,0.6237 ,-0.2886 ,,,0.0238,,-0.3862 ,-0.9680 
-0.2674,crsi2,-58.5426 ,,,,-0.625,zrsi2,-80.8047 ,
0.0456,,0.2819 ,-0.2825 ,,,0.0176,,-0.2775 ,-0.6465 
-0.3482,cr5si3,-227.8927 ,,,,,zr2u,-23.7043 ,
0.0104,,0.8572 ,-0.3161 ,,,,,1.4918 ,-0.0281 
,ucr3,-127.3428 ,,,,,zr2si,-92.6240 ,
,,1.9596 ,0.0375 ,,,,,-0.2303 ,-0.8168 
,u2cr3si,-96.9626 ,,,,,zr3si2,-75.1945 ,
,,1.2926 ,-0.2701 ,,,,,-0.2375 ,-0.9123 
,aucr2si2,-82.2002 ,,,,,zr5si4,-268.0417 ,
,,-0.0180 ,-1.1117 ,,,,,-0.3013 ,-1.0040 
,bucr2si2,-81.7412 ,,,,,uzr4si4,-273.5333 ,
,,0.0279 ,-1.0658 ,,,,,-0.1629 ,-0.9226 
,u4cr7si,-96.0939 ,,,,,,,
,,1.7056 ,-0.0363 ,,,,,,
,,,,,,,,,
U-Cr-N,,,,,,,,,
,1.6,u-gga,mixd,,,,,,
,crn,-557.326227,,,,,,,
,,0.215933965,,,,,,,
,fe4n,-291.1011979,,,,,,,
,,0.979184279,,,,,,,
,,,,,,,,,
,,,,,,,,,
U-Fe-Si,,,,,,,,,
exp/ucer,1.6,u-GGA,mixd,,,,,,
-0.3145,fe3si,-108.5677 ,,,,,,,
,,0.7481 ,-0.3430 ,,,,,,
-0.4001,fesi,-51.9851 ,,,,,,,
0.0187,,0.3323 ,-0.3823 ,,,,,,
,fesi2,-298.8551 ,,,,,,,
,,0.1354 ,-0.3281 ,,,,,,
-0.111243161,ufe2,-184.5825 ,,,,,,,
0.004491184,,1.5131 ,-0.1882 ,,,,,,
-0.4581,ufesi,-92.6240 ,,,,,,,
,,0.5478 ,-0.5035 ,,,,,,
,ufe11si,-183.4576 ,,,,,,,
,,1.1876 ,-0.2819 ,,,,,,
-0.4,u2fe3si,-92.2470 ,,,,,,,
,,1.0480 ,-0.3597 ,,,,,,
,ufe2si2,-72.7254 ,,,,,,,
,,0.4195 ,-0.4837 ,,,,,,
,u2fe3si5,-287.1750 ,,,,,,,
,,0.2314 ,-0.5212 ,,,,,,
,u3fe2si7,-172.0988 ,,,,,,,
,,0.1507 ,-0.4859 ,,,,,,
,,,,,,,,,
,1.5,,,,,,,,
,ufe11si,-185.8472 ,,,,,,,
,,1.0956 ,-0.1781 ,,,,,,
,,-0.1458 ,,,,,,,
,,,,,,,,,
,u2fe3si,-94.6571 ,,,,,,,
,,0.8472 ,-0.4711 ,,,,,,
,1.6,,,,,,,,
,u6fe,-252.8681 ,,,,,,,
,,1.6930 ,0.0259 ,,,,,,
